WOHT_Hom_Male_TIMESTAMP,WOHT_Hom_Male_AVG,LD
2026-03-10 07:00:00+00:00,46.5729462,300
2026-03-10 07:01:00+00:00,72.7841939,300
2026-03-10 07:02:00+00:00,138.3701703,300
2026-03-10 07:03:00+00:00,147.0726717,300
2026-03-10 07:04:00+00:00,136.6264779,300
2026-03-10 07:05:00+00:00,60.207264,300
2026-03-10 07:06:00+00:00,55.5068758,300
2026-03-10 07:07:00+00:00,83.9925049,300
2026-03-10 07:08:00+00:00,74.8510879,300
2026-03-10 07:09:00+00:00,120.9970888,300
2026-03-10 07:10:00+00:00,84.0643275,300
2026-03-10 07:11:00+00:00,98.4966738,300
2026-03-10 07:12:00+00:00,69.4244937,300
2026-03-10 07:13:00+00:00,64.624352,300
2026-03-10 07:14:00+00:00,52.765647699999995,300
2026-03-10 07:15:00+00:00,12.740525799999999,300
2026-03-10 07:16:00+00:00,18.2748538,300
2026-03-10 07:17:00+00:00,8.187772899999999,300
2026-03-10 07:18:00+00:00,63.81834320000001,300
2026-03-10 07:19:00+00:00,40.1607868,300
2026-03-10 07:20:00+00:00,121.5277778,300
2026-03-10 07:21:00+00:00,45.4876274,300
2026-03-10 07:22:00+00:00,72.7802038,300
2026-03-10 07:23:00+00:00,12.792397699999999,300
2026-03-10 07:24:00+00:00,3.6390102,300
2026-03-10 07:25:00+00:00,0.0,300
2026-03-10 07:26:00+00:00,2.7412281,300
2026-03-10 07:27:00+00:00,0.0,300
2026-03-10 07:28:00+00:00,0.0,300
2026-03-10 07:29:00+00:00,0.0,300
2026-03-10 07:30:00+00:00,1.8195051,300
2026-03-10 07:31:00+00:00,0.0,300
2026-03-10 07:32:00+00:00,0.0,300
2026-03-10 07:33:00+00:00,0.0,300
2026-03-10 07:34:00+00:00,0.9097525000000001,300
2026-03-10 07:35:00+00:00,0.9137427,300
2026-03-10 07:36:00+00:00,0.0,300
2026-03-10 07:37:00+00:00,0.0,300
2026-03-10 07:38:00+00:00,0.9097525000000001,300
2026-03-10 07:39:00+00:00,1.8274854,300
2026-03-10 07:40:00+00:00,0.0,300
2026-03-10 07:41:00+00:00,0.0,300
2026-03-10 07:42:00+00:00,0.0,300
2026-03-10 07:43:00+00:00,0.0,300
2026-03-10 07:44:00+00:00,0.9137427,300
2026-03-10 07:45:00+00:00,0.0,300
2026-03-10 07:46:00+00:00,0.0,300
2026-03-10 07:47:00+00:00,0.0,300
2026-03-10 07:48:00+00:00,3.6390102,300
2026-03-10 07:49:00+00:00,0.9097525000000001,300
2026-03-10 07:50:00+00:00,0.0,300
2026-03-10 07:51:00+00:00,0.0,300
2026-03-10 07:52:00+00:00,0.0,300
2026-03-10 07:53:00+00:00,0.0,300
2026-03-10 07:54:00+00:00,1.8195051,300
2026-03-10 07:55:00+00:00,4.568713499999999,300
2026-03-10 07:56:00+00:00,0.0,300
2026-03-10 07:57:00+00:00,1.8274854,300
2026-03-10 07:58:00+00:00,0.0,300
2026-03-10 07:59:00+00:00,0.0,300
2026-03-10 08:00:00+00:00,2.7412281,300
2026-03-10 08:01:00+00:00,0.0,300
2026-03-10 08:02:00+00:00,0.0,300
2026-03-10 08:03:00+00:00,0.0,300
2026-03-10 08:04:00+00:00,0.0,300
2026-03-10 08:05:00+00:00,0.0,300
2026-03-10 08:06:00+00:00,0.0,300
2026-03-10 08:07:00+00:00,0.0,300
2026-03-10 08:08:00+00:00,0.0,300
2026-03-10 08:09:00+00:00,0.0,300
2026-03-10 08:10:00+00:00,0.0,300
2026-03-10 08:11:00+00:00,0.0,300
2026-03-10 08:12:00+00:00,0.0,300
2026-03-10 08:13:00+00:00,0.0,300
2026-03-10 08:14:00+00:00,2.7332478,300
2026-03-10 08:15:00+00:00,3.6390102,300
2026-03-10 08:16:00+00:00,0.0,300
2026-03-10 08:17:00+00:00,0.0,300
2026-03-10 08:18:00+00:00,0.0,300
2026-03-10 08:19:00+00:00,0.0,300
2026-03-10 08:20:00+00:00,2.7292576,300
2026-03-10 08:21:00+00:00,0.0,300
2026-03-10 08:22:00+00:00,13.706140399999999,300
2026-03-10 08:23:00+00:00,54.5851528,300
2026-03-10 08:24:00+00:00,50.9461426,300
2026-03-10 08:25:00+00:00,40.029112100000006,300
2026-03-10 08:26:00+00:00,29.239766099999997,300
2026-03-10 08:27:00+00:00,0.0,300
2026-03-10 08:28:00+00:00,5.4625053999999995,300
2026-03-10 08:29:00+00:00,0.9137427,300
2026-03-10 08:30:00+00:00,0.0,300
2026-03-10 08:31:00+00:00,0.0,300
2026-03-10 08:32:00+00:00,1.8195051,300
2026-03-10 08:33:00+00:00,0.0,300
2026-03-10 08:34:00+00:00,0.9097525000000001,300
2026-03-10 08:35:00+00:00,11.8267831,300
2026-03-10 08:36:00+00:00,24.671052600000003,300
2026-03-10 08:37:00+00:00,9.0975255,300
2026-03-10 08:38:00+00:00,27.2925764,300
2026-03-10 08:39:00+00:00,11.8267831,300
2026-03-10 08:40:00+00:00,23.7533198,300
2026-03-10 08:41:00+00:00,47.3071325,300
2026-03-10 08:42:00+00:00,18.2030312,300
2026-03-10 08:43:00+00:00,0.9097525000000001,300
2026-03-10 08:44:00+00:00,4.5647233,300
2026-03-10 08:45:00+00:00,19.1048035,300
2026-03-10 08:46:00+00:00,51.16959060000001,300
2026-03-10 08:47:00+00:00,5.4824561,300
2026-03-10 08:48:00+00:00,0.0,300
2026-03-10 08:49:00+00:00,0.0,300
2026-03-10 08:50:00+00:00,0.0,300
2026-03-10 08:51:00+00:00,25.584795300000003,300
2026-03-10 08:52:00+00:00,6.368267800000001,300
2026-03-10 08:53:00+00:00,0.0,300
2026-03-10 08:54:00+00:00,0.0,300
2026-03-10 08:55:00+00:00,0.0,300
2026-03-10 08:56:00+00:00,0.9097525000000001,300
2026-03-10 08:57:00+00:00,0.0,300
2026-03-10 08:58:00+00:00,0.0,300
2026-03-10 08:59:00+00:00,0.0,300
2026-03-10 09:00:00+00:00,0.0,300
2026-03-10 09:01:00+00:00,0.0,300
2026-03-10 09:02:00+00:00,24.5633188,300
2026-03-10 09:03:00+00:00,25.584795300000003,300
2026-03-10 09:04:00+00:00,0.0,300
2026-03-10 09:05:00+00:00,0.0,300
2026-03-10 09:06:00+00:00,12.792397699999999,300
2026-03-10 09:07:00+00:00,6.368267800000001,300
2026-03-10 09:08:00+00:00,0.0,300
2026-03-10 09:09:00+00:00,0.0,300
2026-03-10 09:10:00+00:00,0.9097525000000001,300
2026-03-10 09:11:00+00:00,0.0,300
2026-03-10 09:12:00+00:00,31.0632613,300
2026-03-10 09:13:00+00:00,8.187772899999999,300
2026-03-10 09:14:00+00:00,25.4730713,300
2026-03-10 09:15:00+00:00,0.0,300
2026-03-10 09:16:00+00:00,24.5633188,300
2026-03-10 09:17:00+00:00,1.8274854,300
2026-03-10 09:18:00+00:00,14.5799816,300
2026-03-10 09:19:00+00:00,4.568713499999999,300
2026-03-10 09:20:00+00:00,1.8195051,300
2026-03-10 09:21:00+00:00,0.9137427,300
2026-03-10 09:22:00+00:00,6.368267800000001,300
2026-03-10 09:23:00+00:00,14.6079126,300
2026-03-10 09:24:00+00:00,1.8274854,300
2026-03-10 09:25:00+00:00,0.0,300
2026-03-10 09:26:00+00:00,0.0,300
2026-03-10 09:27:00+00:00,15.5336257,300
2026-03-10 09:28:00+00:00,9.1015156,300
2026-03-10 09:29:00+00:00,0.9097525000000001,300
2026-03-10 09:30:00+00:00,0.0,300
2026-03-10 09:31:00+00:00,0.0,300
2026-03-10 09:32:00+00:00,10.9649123,300
2026-03-10 09:33:00+00:00,4.5487627,300
2026-03-10 09:34:00+00:00,0.0,300
2026-03-10 09:35:00+00:00,0.0,300
2026-03-10 09:36:00+00:00,0.0,300
2026-03-10 09:37:00+00:00,0.0,300
2026-03-10 09:38:00+00:00,0.0,300
2026-03-10 09:39:00+00:00,0.0,300
2026-03-10 09:40:00+00:00,1.8274854,300
2026-03-10 09:41:00+00:00,0.0,300
2026-03-10 09:42:00+00:00,0.0,300
2026-03-10 09:43:00+00:00,0.0,300
2026-03-10 09:44:00+00:00,0.0,300
2026-03-10 09:45:00+00:00,0.0,300
2026-03-10 09:46:00+00:00,0.0,300
2026-03-10 09:47:00+00:00,0.0,300
2026-03-10 09:48:00+00:00,0.0,300
2026-03-10 09:49:00+00:00,0.0,300
2026-03-10 09:50:00+00:00,0.0,300
2026-03-10 09:51:00+00:00,0.0,300
2026-03-10 09:52:00+00:00,0.9137427,300
2026-03-10 09:53:00+00:00,0.0,300
2026-03-10 09:54:00+00:00,0.0,300
2026-03-10 09:55:00+00:00,4.568713499999999,300
2026-03-10 09:56:00+00:00,4.5647233,300
2026-03-10 09:57:00+00:00,1.8195051,300
2026-03-10 09:58:00+00:00,4.568713499999999,300
2026-03-10 09:59:00+00:00,0.9137427,300
2026-03-10 10:00:00+00:00,0.0,300
2026-03-10 10:01:00+00:00,34.5705968,300
2026-03-10 10:02:00+00:00,3.6390102,300
2026-03-10 10:03:00+00:00,22.8435673,300
2026-03-10 10:04:00+00:00,78.2387191,300
2026-03-10 10:05:00+00:00,59.3892847,300
2026-03-10 10:06:00+00:00,0.0,300
2026-03-10 10:07:00+00:00,25.584795300000003,300
2026-03-10 10:08:00+00:00,20.014556,300
2026-03-10 10:09:00+00:00,49.1266376,300
2026-03-10 10:10:00+00:00,23.7533198,300
2026-03-10 10:11:00+00:00,38.209607,300
2026-03-10 10:12:00+00:00,1.8195051,300
2026-03-10 10:13:00+00:00,37.4634503,300
2026-03-10 10:14:00+00:00,20.014556,300
2026-03-10 10:15:00+00:00,21.8340611,300
2026-03-10 10:16:00+00:00,62.1345029,300
2026-03-10 10:17:00+00:00,57.3223908,300
2026-03-10 10:18:00+00:00,10.9170306,300
2026-03-10 10:19:00+00:00,88.6330409,300
2026-03-10 10:20:00+00:00,141.0116448,300
2026-03-10 10:21:00+00:00,25.584795300000003,300
2026-03-10 10:22:00+00:00,15.4657933,300
2026-03-10 10:23:00+00:00,20.014556,300
2026-03-10 10:24:00+00:00,8.2157039,300
2026-03-10 10:25:00+00:00,81.8777293,300
2026-03-10 10:26:00+00:00,6.3961988,300
2026-03-10 10:27:00+00:00,27.2925764,300
2026-03-10 10:28:00+00:00,3.6549708,300
2026-03-10 10:29:00+00:00,4.5487627,300
2026-03-10 10:30:00+00:00,29.239766099999997,300
2026-03-10 10:31:00+00:00,11.8267831,300
2026-03-10 10:32:00+00:00,23.6535662,300
2026-03-10 10:33:00+00:00,1.8274854,300
2026-03-10 10:34:00+00:00,0.9097525000000001,300
2026-03-10 10:35:00+00:00,0.0,300
2026-03-10 10:36:00+00:00,0.0,300
2026-03-10 10:37:00+00:00,1.8234952,300
2026-03-10 10:38:00+00:00,1.8195051,300
2026-03-10 10:39:00+00:00,0.0,300
2026-03-10 10:40:00+00:00,0.0,300
2026-03-10 10:41:00+00:00,0.0,300
2026-03-10 10:42:00+00:00,0.9097525000000001,300
2026-03-10 10:43:00+00:00,0.0,300
2026-03-10 10:44:00+00:00,0.0,300
2026-03-10 10:45:00+00:00,0.0,300
2026-03-10 10:46:00+00:00,0.0,300
2026-03-10 10:47:00+00:00,4.5527529,300
2026-03-10 10:48:00+00:00,71.2719298,300
2026-03-10 10:49:00+00:00,11.878655,300
2026-03-10 10:50:00+00:00,18.195050900000002,300
2026-03-10 10:51:00+00:00,31.8413392,300
2026-03-10 10:52:00+00:00,26.3828239,300
2026-03-10 10:53:00+00:00,16.447368400000002,300
2026-03-10 10:54:00+00:00,4.5487627,300
2026-03-10 10:55:00+00:00,27.2925764,300
2026-03-10 10:56:00+00:00,83.4524822,300
2026-03-10 10:57:00+00:00,24.5633188,300
2026-03-10 10:58:00+00:00,29.1120815,300
2026-03-10 10:59:00+00:00,3.6549708,300
2026-03-10 11:00:00+00:00,0.9097525000000001,300
2026-03-10 11:01:00+00:00,28.206319099999998,300
2026-03-10 11:02:00+00:00,4.5487627,300
2026-03-10 11:03:00+00:00,0.9097525000000001,300
2026-03-10 11:04:00+00:00,2.7412281,300
2026-03-10 11:05:00+00:00,0.0,300
2026-03-10 11:06:00+00:00,0.0,300
2026-03-10 11:07:00+00:00,0.0,300
2026-03-10 11:08:00+00:00,0.0,300
2026-03-10 11:09:00+00:00,3.6549708,300
2026-03-10 11:10:00+00:00,0.0,300
2026-03-10 11:11:00+00:00,0.0,300
2026-03-10 11:12:00+00:00,0.0,300
2026-03-10 11:13:00+00:00,0.0,300
2026-03-10 11:14:00+00:00,0.0,300
2026-03-10 11:15:00+00:00,0.0,300
2026-03-10 11:16:00+00:00,0.0,300
2026-03-10 11:17:00+00:00,0.0,300
2026-03-10 11:18:00+00:00,0.9137427,300
2026-03-10 11:19:00+00:00,0.0,300
2026-03-10 11:20:00+00:00,0.0,300
2026-03-10 11:21:00+00:00,0.0,300
2026-03-10 11:22:00+00:00,11.878655,300
2026-03-10 11:23:00+00:00,32.7510917,300
2026-03-10 11:24:00+00:00,22.7438137,300
2026-03-10 11:25:00+00:00,2.7412281,300
2026-03-10 11:26:00+00:00,3.6390102,300
2026-03-10 11:27:00+00:00,5.4585153,300
2026-03-10 11:28:00+00:00,52.0833333,300
2026-03-10 11:29:00+00:00,50.036390100000006,300
2026-03-10 11:30:00+00:00,29.1120815,300
2026-03-10 11:31:00+00:00,51.16959060000001,300
2026-03-10 11:32:00+00:00,0.9137427,300
2026-03-10 11:33:00+00:00,20.9243086,300
2026-03-10 11:34:00+00:00,25.4730713,300
2026-03-10 11:35:00+00:00,10.9649123,300
2026-03-10 11:36:00+00:00,29.1120815,300
2026-03-10 11:37:00+00:00,47.5146199,300
2026-03-10 11:38:00+00:00,37.2998544,300
2026-03-10 11:39:00+00:00,25.4730713,300
2026-03-10 11:40:00+00:00,20.1023392,300
2026-03-10 11:41:00+00:00,0.0,300
2026-03-10 11:42:00+00:00,20.9243086,300
2026-03-10 11:43:00+00:00,0.0,300
2026-03-10 11:44:00+00:00,0.0,300
2026-03-10 11:45:00+00:00,0.0,300
2026-03-10 11:46:00+00:00,4.568713499999999,300
2026-03-10 11:47:00+00:00,0.0,300
2026-03-10 11:48:00+00:00,0.0,300
2026-03-10 11:49:00+00:00,0.9137427,300
2026-03-10 11:50:00+00:00,13.6462882,300
2026-03-10 11:51:00+00:00,21.0160819,300
2026-03-10 11:52:00+00:00,0.0,300
2026-03-10 11:53:00+00:00,0.0,300
2026-03-10 11:54:00+00:00,0.0,300
2026-03-10 11:55:00+00:00,0.0,300
2026-03-10 11:56:00+00:00,0.0,300
2026-03-10 11:57:00+00:00,0.0,300
2026-03-10 11:58:00+00:00,0.0,300
2026-03-10 11:59:00+00:00,0.0,300
2026-03-10 12:00:00+00:00,0.0,300
2026-03-10 12:01:00+00:00,5.4824561,300
2026-03-10 12:02:00+00:00,16.3755459,300
2026-03-10 12:03:00+00:00,0.0,300
2026-03-10 12:04:00+00:00,0.0,300
2026-03-10 12:05:00+00:00,0.0,300
2026-03-10 12:06:00+00:00,0.9097525000000001,300
2026-03-10 12:07:00+00:00,0.0,300
2026-03-10 12:08:00+00:00,0.9137427,300
2026-03-10 12:09:00+00:00,0.9097525000000001,300
2026-03-10 12:10:00+00:00,1.8274854,300
2026-03-10 12:11:00+00:00,1.8195051,300
2026-03-10 12:12:00+00:00,0.0,300
2026-03-10 12:13:00+00:00,0.0,300
2026-03-10 12:14:00+00:00,0.0,300
2026-03-10 12:15:00+00:00,0.9097525000000001,300
2026-03-10 12:16:00+00:00,0.0,300
2026-03-10 12:17:00+00:00,0.0,300
