Time,OG Pir,Detrended PIR,3hr Avg,24hr Avg
2025-04-28 11:00:00+00:00,0.05,82.60525794,85.10904804,35.90525445
2025-04-28 12:00:00+00:00,0.027777778,85.10436508,84.43416005,35.90313247
2025-04-28 13:00:00+00:00,0.633333333,85.40208333,84.37056878,35.91588462
2025-04-28 14:00:00+00:00,0.119444444,82.77232143,84.42625661,35.87205608
2025-04-28 15:00:00+00:00,2.341666667,85.3421627,84.50552249,35.65891538
2025-04-28 16:00:00+00:00,10.2729805,-10.82610426,52.42945996,35.62980604
2025-04-28 17:00:00+00:00,29.13611111,-21.24712302,17.75631181,35.76698775
2025-04-28 18:00:00+00:00,5.727777778,-27.23630952,-19.7698456,34.60772436
2025-04-28 19:00:00+00:00,18.91666667,-7.248313492,-18.57724868,35.4985958
2025-04-28 20:00:00+00:00,7.008333333,-28.01656746,-20.83373016,35.14705397
2025-04-28 21:00:00+00:00,37.63333333,-6.127777778,-13.79755291,35.1689455
2025-04-28 22:00:00+00:00,4.088888889,-12.28382937,-15.4760582,35.12913482
2025-04-28 23:00:00+00:00,28.10584958,-1.249403104,-6.553670082,35.30364299
2025-04-29 00:00:00+00:00,2.316666667,-10.33224206,-7.955158177,35.06553948
2025-04-29 01:00:00+00:00,17.49722222,-12.49305556,-8.024900241,35.7089637
2025-04-29 02:00:00+00:00,10.71111111,-18.15505952,-13.66011905,34.94341724
2025-04-29 03:00:00+00:00,11.79444444,-15.76646825,-15.47152778,35.11475074
2025-04-29 04:00:00+00:00,28.26944444,90.60208333,18.89351852,35.50092799
2025-04-29 05:00:00+00:00,0.22005571,83.94160366,52.92573958,35.64026895
2025-04-29 06:00:00+00:00,0.086111111,85.29702381,86.61357027,35.4873961
2025-04-29 07:00:00+00:00,6.794444444,85.6328373,84.95715492,35.42685955
2025-04-29 08:00:00+00:00,0.019444444,86.11775794,85.68253968,35.60654705
2025-04-29 09:00:00+00:00,7.016666667,87.18799603,86.31286376,35.60900401
2025-04-29 10:00:00+00:00,0,84.45823413,85.92132937,35.56172805
2025-04-29 11:00:00+00:00,0.144444444,84.81220238,85.48614418,35.65368407
2025-04-29 12:00:00+00:00,0.186629526,81.04019101,83.43687584,35.48434349
2025-04-29 13:00:00+00:00,1.922222222,85.13541667,83.66260335,35.47323237
