WOHT_Hom_Male_B_TIMESTAMP,WOHT_Hom_Male_B_AVG,WOHT_WT_Female_LPS_A_AVG,WOHT_WT_Female_LPS_B_AVG,WOHT_WT_Male_A_AVG,WOHT_Hom_Male_A_AVG,WOHT_Hom_Female_LPS_A_AVG,WOHT_Hom_Female_LPS_B_AVG,WOHT_WT_Male_B_AVG,LD
2026-03-17 07:00:00+00:00,0.7096069868995633,0.4751461988304093,0.0181950509461426,0.4184861717612809,1.3136347965984831,1.5472709551656918,0.9340126152353224,0.280214424951267,300
2026-03-17 07:01:00+00:00,0.1819505094614265,1.2008733624454149,0.0181950509461426,0.0730196123496514,0.5482456140350876,2.947598253275109,1.2857836001940806,0.1334303736050461,300
2026-03-17 07:02:00+00:00,0.712719298245614,2.7777777777777772,0.0909752547307132,0.0181950509461426,0.6914119359534207,1.3706938379427465,1.6203703703703702,0.5579815623483745,300
2026-03-17 07:03:00+00:00,1.0189228529839884,0.7459970887918486,0.5665204678362573,0.1096491228070175,0.8394462320283971,0.9746588693957112,0.994662785055798,0.1705653021442495,300
2026-03-17 07:04:00+00:00,0.0,0.2729257641921397,0.9279475982532752,0.9097525473071324,0.4187255803263617,0.958272683163513,0.0487329434697855,0.4366812227074235,300
2026-03-17 07:05:00+00:00,0.0,0.3275109170305676,0.9461426491994176,0.2729257641921397,2.765647743813682,0.1576904415332362,0.2304706453178069,0.1705653021442495,300
2026-03-17 07:06:00+00:00,0.0,0.0,1.1695906432748535,0.5665204678362573,1.4944680660895324,0.4507797270955165,0.6792819019893255,0.4609412906356138,300
2026-03-17 07:07:00+00:00,0.0548245614035087,0.0182748538011695,0.61863173216885,0.5822416302765647,0.5458515283842795,0.9340126152353228,1.0562173872332457,0.5847953216374269,300
2026-03-17 07:08:00+00:00,0.0,1.0007278020378456,0.9097525473071324,2.037845705967977,0.3821758727240225,0.4488112566715185,0.621345029239766,0.0727802037845705,300
2026-03-17 07:09:00+00:00,0.0363901018922852,1.1695906432748535,0.7459970887918486,2.137838683316734,0.0546649556934548,0.1334303736050461,0.0485201358563803,0.1455604075691411,300
2026-03-17 07:10:00+00:00,0.0181950509461426,0.4912663755458515,0.5665204678362573,1.401018922852984,0.4002911208151383,0.1461988304093567,0.6213450292397661,0.121300339640951,300
2026-03-17 07:11:00+00:00,0.0365497076023391,2.1198830409356724,0.309315866084425,0.0,1.6404274879338083,0.2547839151493484,1.1887433284813196,0.2183406113537117,300
2026-03-17 07:12:00+00:00,0.0,1.3646288209606985,0.0,0.0181950509461426,1.0051169590643274,0.7675438596491228,1.1695906432748535,0.0974658869395711,300
2026-03-17 07:13:00+00:00,0.0,0.9502923976608184,0.0182748538011695,0.0,0.0545851528384279,0.012130033964095,2.1227559437166423,0.4609944925389651,300
2026-03-17 07:14:00+00:00,0.0,0.4184861717612809,0.0363901018922852,0.1273653566229985,0.3824950841441303,0.606501698204755,1.7103347889374083,0.5482456140350876,300
2026-03-17 07:15:00+00:00,0.0,0.0727802037845705,0.0545851528384279,0.0545851528384279,0.0,0.4629629629629628,0.7278020378457062,0.6550218340611353,300
2026-03-17 07:16:00+00:00,0.0,0.0,0.0,0.2375730994152046,0.0,0.4852545604671552,0.3167641325536062,1.0189228529839884,300
2026-03-17 07:17:00+00:00,0.0,0.0,0.0,0.5822416302765648,0.0,1.0310528869480833,0.4750929969270579,0.6914119359534207,300
2026-03-17 07:18:00+00:00,0.0,0.5276564774381369,0.0363901018922852,0.4548762736535661,0.1455604075691411,1.0964912280701753,0.1214067434476535,0.8040935672514619,300
2026-03-17 07:19:00+00:00,0.1091703056768558,1.736111111111111,0.0,0.0,0.5640465793304221,1.7709849587578843,0.0487329434697855,0.6307617661329451,300
2026-03-17 07:20:00+00:00,0.2010233918128654,1.2736535662299853,0.0,0.0181950509461426,0.0,0.8491023774866568,0.3275109170305676,1.0674429888403687,300
2026-03-17 07:21:00+00:00,0.9643377001455602,0.0181950509461426,0.0,0.219298245614035,0.0,0.994662785055798,0.2062105773896166,1.4741715399610136,300
2026-03-17 07:22:00+00:00,0.254730713245997,0.0182748538011695,0.0,0.7823871906841341,0.0,0.3760310528869481,1.4070839398350314,1.2493934983017954,300
2026-03-17 07:23:00+00:00,0.0,0.0181950509461426,0.0,0.0730994152046783,0.0181950509461426,1.242690058479532,1.5716374269005848,0.2911208151382823,300
2026-03-17 07:24:00+00:00,0.0,0.0,0.0,0.0,0.0,0.861232411450752,0.7763221737020863,0.012130033964095,300
2026-03-17 07:25:00+00:00,0.0,0.0,0.0181950509461426,0.0,0.0,0.3167641325536062,0.994662785055798,0.4609412906356138,300
2026-03-17 07:26:00+00:00,0.0181950509461426,0.0,0.0,0.0,0.0,0.2062105773896166,0.3045808966861598,0.0121832358674463,300
2026-03-17 07:27:00+00:00,0.0363901018922852,0.0,0.0,0.0,0.0,0.4142300194931774,0.7763221737020864,0.0242600679281901,300
2026-03-17 07:28:00+00:00,0.0182748538011695,0.0,0.0,0.0,0.0,0.970402717127608,1.1280931586608445,0.0,300
2026-03-17 07:29:00+00:00,0.0,0.0181950509461426,0.0,0.0,0.0,1.128093158660844,0.6578947368421052,0.0485201358563803,300
2026-03-17 07:30:00+00:00,0.0181950509461426,0.5665204678362573,0.0,0.1091703056768558,0.0,0.6792819019893255,0.6428918000970402,0.1334303736050461,300
2026-03-17 07:31:00+00:00,0.0182748538011695,0.4730713245997088,0.0,0.0730994152046783,0.0,1.023391812865497,0.1940805434255215,0.1461988304093567,300
2026-03-17 07:32:00+00:00,0.0,1.0735080058224165,0.0,0.0909752547307132,0.0,0.0,0.1218323586744639,0.1213003396409509,300
2026-03-17 07:33:00+00:00,0.0,1.242690058479532,0.0,0.1279239766081871,0.0,0.1827485380116958,0.0606501698204754,0.2668607472100922,300
2026-03-17 07:34:00+00:00,0.0,0.3275109170305676,0.0,1.5647743813682675,0.0,0.1698204754973313,0.61863173216885,0.1576904415332362,300
2026-03-17 07:35:00+00:00,0.0,0.0545851528384279,0.0,1.6921397379912664,0.0,0.0363901018922852,1.4132553606237817,0.3167641325536062,300
2026-03-17 07:36:00+00:00,0.0,0.0,0.0,0.8589181286549707,0.0,0.280214424951267,0.0,0.2547307132459971,300
2026-03-17 07:37:00+00:00,0.0,0.0,0.0,1.364628820960699,0.0,0.9340126152353226,0.5458515283842795,0.1213003396409509,300
2026-03-17 07:38:00+00:00,0.0,0.0,0.0,1.51018922852984,0.0,1.1402231926249395,1.2670565302144248,0.0,300
2026-03-17 07:39:00+00:00,0.0,0.0,0.0,1.2061403508771928,0.0,1.5350877192982455,0.3760310528869481,0.0242600679281901,300
2026-03-17 07:40:00+00:00,0.0,0.0,0.0,1.0553129548762736,0.0,1.1644832605531297,1.5647743813682682,0.0849102377486657,300
2026-03-17 07:41:00+00:00,0.0,0.0,0.0,1.310043668122271,0.0,1.467734109655507,0.3396409509946628,0.1461988304093567,300
2026-03-17 07:42:00+00:00,0.0,0.0,0.0181950509461426,1.023391812865497,0.0,1.6011644832605532,0.2668607472100922,0.0363901018922852,300
2026-03-17 07:43:00+00:00,0.0,0.0,0.0,1.1098981077147017,0.0,1.864035087719298,0.1218323586744639,0.0,300
2026-03-17 07:44:00+00:00,0.0,0.0,0.0,0.2010233918128654,0.0,0.4730713245997088,0.1698204754973314,0.0970402717127607,300
2026-03-17 07:45:00+00:00,0.0,0.0,0.0,0.0909752547307132,0.0,0.6792819019893256,0.0970402717127607,0.5360623781676412,300
2026-03-17 07:46:00+00:00,0.0,0.0,0.0,0.4568713450292397,0.0,0.8854924793789422,0.2789907811741872,0.3639010189228529,300
2026-03-17 07:47:00+00:00,0.0,0.0,0.0,1.0007278020378456,0.0,1.2736535662299855,0.3153808830664726,0.4488112566715188,300
2026-03-17 07:48:00+00:00,0.0,0.0,0.0,0.219298245614035,0.0,1.6081871345029235,0.4629629629629628,0.4751461988304093,300
2026-03-17 07:49:00+00:00,0.0,0.0,0.0,0.0909752547307132,0.0,0.8854924793789424,0.1576904415332362,0.7884522076661814,300
2026-03-17 07:50:00+00:00,0.0,0.0,0.0,0.0,0.0,0.4995126705653021,0.8127122755943716,0.5094614264919942,300
2026-03-17 07:51:00+00:00,0.0,0.0,0.0,0.0365497076023391,0.0,1.079573022804464,0.3517709849587578,0.4002911208151383,300
2026-03-17 07:52:00+00:00,0.0,0.0,0.0,0.0,0.0,2.049975739932072,0.4507797270955165,0.5482456140350876,300
2026-03-17 07:53:00+00:00,0.0,0.0,0.0,0.0365497076023391,0.0,0.2680311890838206,0.2426006792819019,0.3881610868510432,300
2026-03-17 07:54:00+00:00,0.0,0.0,0.0,0.0,0.0,0.5822416302765647,0.61863173216885,0.3289473684210526,300
2026-03-17 07:55:00+00:00,0.0,0.0,0.0,0.0,0.0,0.4366812227074235,0.4873294346978556,0.1455604075691411,300
2026-03-17 07:56:00+00:00,0.0,0.0,0.0,0.0,0.0,0.1096491228070175,0.3396409509946628,0.0,300
2026-03-17 07:57:00+00:00,0.0,0.0,0.0,0.0,0.0,0.1940805434255215,0.1819505094614264,0.121300339640951,300
2026-03-17 07:58:00+00:00,0.0,0.0,0.0,0.0730994152046783,0.0,0.012130033964095,0.7278020378457061,0.0485201358563803,300
2026-03-17 07:59:00+00:00,0.0,0.0,0.0,0.0,0.0,0.5337214944201844,1.3036062378167643,0.0,300
