Time,PIR2,Avg1,Avg2,Dif,Detrend
2025-04-25 13:00:00+00:00,0.011904761904761904,,,,
2025-04-25 14:00:00+00:00,11.73611111111111,,,,
2025-04-25 15:00:00+00:00,0.027777777777777776,3.9252645502645507,,,
2025-04-25 16:00:00+00:00,6.411111111111111,6.058333333333334,,,
2025-04-25 17:00:00+00:00,3.952777777777778,3.463888888888889,,,
2025-04-25 18:00:00+00:00,41.57222222222222,17.312037037037037,,,
2025-04-25 19:00:00+00:00,23.81111111111111,23.112037037037037,,,
2025-04-25 20:00:00+00:00,31.875,32.419444444444444,,,
2025-04-25 21:00:00+00:00,9.697222222222223,21.79444444444444,,,
2025-04-25 22:00:00+00:00,26.83888888888889,22.803703703703704,,,
2025-04-25 23:00:00+00:00,34.83888888888889,23.791666666666668,,,
2025-04-26 00:00:00+00:00,4.597222222222222,22.09166666666667,,,
2025-04-26 01:00:00+00:00,11.511111111111111,16.982407407407408,,,
2025-04-26 02:00:00+00:00,29.522222222222222,15.210185185185187,,,
2025-04-26 03:00:00+00:00,41.71944444444444,27.584259259259255,,,
2025-04-26 04:00:00+00:00,40.958333333333336,37.4,,,
2025-04-26 05:00:00+00:00,1.9472222222222222,28.208333333333332,,,
2025-04-26 06:00:00+00:00,8.705555555555556,17.203703703703702,,,
2025-04-26 07:00:00+00:00,0.0,3.550925925925924,,,
2025-04-26 08:00:00+00:00,0.0,2.9018518518518497,,,
2025-04-26 09:00:00+00:00,10.286111111111111,3.4287037037037016,,,
2025-04-26 10:00:00+00:00,0.0,3.4287037037037016,,,
2025-04-26 11:00:00+00:00,8.241666666666667,6.175925925925924,,,
2025-04-26 12:00:00+00:00,0.375,2.87222222222222,14.526537698412698,-11.654315476190478,-14.151537698412698
2025-04-26 13:00:00+00:00,6.933333333333334,5.183333333333331,14.814930555555556,-9.631597222222226,-7.881597222222222
2025-04-26 14:00:00+00:00,3.138888888888889,3.4824074074074054,14.456712962962962,-10.974305555555556,-11.317824074074073
2025-04-26 15:00:00+00:00,4.761111111111111,4.944444444444442,14.653935185185183,-9.70949074074074,-9.892824074074072
2025-04-26 16:00:00+00:00,1.35,3.083333333333331,14.443055555555555,-11.359722222222224,-13.093055555555555
2025-04-26 17:00:00+00:00,23.17222222222222,9.761111111111108,15.24386574074074,-5.482754629629632,7.928356481481481
2025-04-26 18:00:00+00:00,51.708333333333336,25.410185185185185,15.666203703703706,9.743981481481478,36.04212962962963
2025-04-26 19:00:00+00:00,47.297222222222224,40.72592592592593,16.644791666666666,24.08113425925926,30.652430555555558
2025-04-26 20:00:00+00:00,23.719444444444445,40.90833333333334,16.30497685185185,24.603356481481487,7.414467592592594
2025-04-26 21:00:00+00:00,15.019444444444444,28.678703703703704,16.526736111111113,12.151967592592591,-1.507291666666669
2025-04-26 22:00:00+00:00,51.736111111111114,30.15833333333333,17.56412037037037,12.59421296296296,34.17199074074074
2025-04-26 23:00:00+00:00,39.49166666666667,35.41574074074074,17.757986111111112,17.657754629629625,21.733680555555555
2025-04-27 00:00:00+00:00,12.475,34.56759259259259,18.08622685185185,16.48136574074074,-5.6112268518518515
2025-04-27 01:00:00+00:00,13.963888888888889,21.976851851851848,18.188425925925923,3.7884259259259245,-4.2245370370370345
2025-04-27 02:00:00+00:00,44.80555555555556,23.748148148148147,18.825231481481485,4.922916666666662,25.980324074074073
2025-04-27 03:00:00+00:00,44.13333333333333,34.300925925925924,18.925810185185185,15.375115740740739,25.207523148148148
