Time,OG Pir,Detrended PIR,3hr Avg,24hr Avg
2025-04-25 13:00:00+00:00,0.008928571428571428,-66.63860544217687,,
2025-04-25 14:00:00+00:00,2.55,-74.23095238095239,,
2025-04-25 15:00:00+00:00,0.06111111111111111,-70.90119047619048,-70.59024943310658,
2025-04-25 16:00:00+00:00,6.825,0.0420634920634928,-48.36335978835979,
2025-04-25 17:00:00+00:00,2.422222222222222,-18.290873015873018,-29.71666666666667,
2025-04-25 18:00:00+00:00,23.56388888888889,-9.377380952380946,-9.208730158730157,
2025-04-25 19:00:00+00:00,21.623955431754876,-8.038997214484677,-11.902417060912882,
2025-04-25 20:00:00+00:00,11.775,-12.741666666666669,-10.052681611177432,
2025-04-25 21:00:00+00:00,2.975,-23.47896825396825,-14.753210711706531,
2025-04-25 22:00:00+00:00,22.658333333333335,-9.616269841269837,-15.278968253968253,
2025-04-25 23:00:00+00:00,37.8,1.0686507936507965,-10.675529100529095,
2025-04-26 00:00:00+00:00,25.025,-0.8642857142857174,-3.137301587301586,
2025-04-26 01:00:00+00:00,5.855153203342619,-17.205730202944686,-5.667121707859869,
2025-04-26 02:00:00+00:00,14.636111111111111,-7.196428571428571,-8.422148162886325,
2025-04-26 03:00:00+00:00,40.611111111111114,14.898809523809526,-3.1677830835212437,
2025-04-26 04:00:00+00:00,24.022222222222222,-65.15753968253968,-19.151719576719575,
2025-04-26 05:00:00+00:00,4.075,-73.63650793650793,-41.2984126984127,
2025-04-26 06:00:00+00:00,0.0,-72.0547619047619,-70.2829365079365,
2025-04-26 07:00:00+00:00,4.861111111111111,-70.46587301587302,-72.05238095238094,
2025-04-26 08:00:00+00:00,7.512534818941504,-63.86987664146439,-68.79683718736642,
2025-04-26 09:00:00+00:00,0.3055555555555556,-74.77222222222223,-69.70265729318653,
2025-04-26 10:00:00+00:00,14.738888888888889,-61.22103174603175,-66.62104353657278,
2025-04-26 11:00:00+00:00,0.0,-71.43968253968254,-69.14431216931216,
2025-04-26 12:00:00+00:00,6.019444444444445,-67.61785714285715,-66.7595238095238,-38.45029907312662
2025-04-26 13:00:00+00:00,5.169444444444444,-70.93055555555557,-69.99603174603175,-38.62913032785073
2025-04-26 14:00:00+00:00,1.4,-70.21468253968253,-69.5876984126984,-38.46178575113115
2025-04-26 15:00:00+00:00,0.008356545961002786,-74.57859132510941,-71.90794314011583,-38.61501078650278
2025-04-26 16:00:00+00:00,6.338888888888889,-6.853571428571428,-50.54894843112111,-38.9023289081959
2025-04-26 17:00:00+00:00,5.488888888888889,-26.204365079365083,-35.8788426110153,-39.23205774417473
2025-04-26 18:00:00+00:00,15.244444444444444,-26.043253968253968,-19.70039682539682,-39.926469119836106
2025-04-26 19:00:00+00:00,10.011111111111111,-33.158730158730165,-28.468783068783065,-40.973124659179675
2025-04-26 20:00:00+00:00,10.930555555555555,-28.862301587301587,-29.354761904761897,-41.64481778087279
2025-04-26 21:00:00+00:00,25.394444444444446,-11.565873015873017,-24.528968253968248,-41.14843881261883
2025-04-26 22:00:00+00:00,24.994444444444444,-16.01706349206349,-18.815079365079356,-41.41513854806856
