Time,PIR1,PIR2,PIR3,PIR4,PIR5,PIR6,LDR
2025-04-25 13:00:00+00:00,0.008928571428571428,0.011904761904761904,6.023809523809524,1.9404761904761905,0.2619047619047619,0.0,458.2857142857143
2025-04-25 14:00:00+00:00,2.55,11.73611111111111,0.5055555555555555,5.655555555555556,20.419444444444444,5.0,491.6
2025-04-25 15:00:00+00:00,0.06111111111111111,0.027777777777777776,2.7,6.05,0.0,0.0,487.89722222222224
2025-04-25 16:00:00+00:00,6.825,6.411111111111111,3.2,5.3694444444444445,2.941666666666667,18.669444444444444,4.063888888888889
2025-04-25 17:00:00+00:00,2.422222222222222,3.952777777777778,22.77777777777778,39.55555555555556,22.81111111111111,53.47222222222222,0.0
2025-04-25 18:00:00+00:00,23.56388888888889,41.57222222222222,31.3,50.111111111111114,21.52777777777778,62.513888888888886,0.0
2025-04-25 19:00:00+00:00,21.623955431754876,23.87743732590529,9.832869080779945,44.871866295264624,50.59610027855153,56.83844011142061,0.0
2025-04-25 20:00:00+00:00,11.775,31.875,44.897222222222226,0.6944444444444444,16.366666666666667,66.00833333333334,0.0
2025-04-25 21:00:00+00:00,2.975,9.697222222222223,44.55277777777778,44.333333333333336,26.397222222222222,57.22222222222222,0.0
2025-04-25 22:00:00+00:00,22.658333333333335,26.83888888888889,40.141666666666666,8.0,56.09722222222222,72.18611111111112,0.0
2025-04-25 23:00:00+00:00,37.8,34.83888888888889,19.455555555555556,51.05,44.791666666666664,69.18333333333334,0.0
2025-04-26 00:00:00+00:00,25.025,4.597222222222222,18.127777777777776,32.044444444444444,30.08888888888889,71.34166666666667,0.0
2025-04-26 01:00:00+00:00,5.855153203342619,11.54317548746518,26.58217270194986,32.37883008356546,23.95264623955432,61.1142061281337,0.0
2025-04-26 02:00:00+00:00,14.636111111111111,29.522222222222222,29.283333333333335,23.2,7.902777777777778,48.28333333333333,0.0
2025-04-26 03:00:00+00:00,40.611111111111114,41.71944444444444,39.208333333333336,0.20277777777777778,32.38333333333333,25.86111111111111,0.0
2025-04-26 04:00:00+00:00,24.022222222222222,40.958333333333336,45.93333333333333,0.225,18.183333333333334,3.1166666666666667,491.81944444444446
2025-04-26 05:00:00+00:00,4.075,1.9472222222222222,6.072222222222222,37.705555555555556,0.39444444444444443,0.0,493.7861111111111
2025-04-26 06:00:00+00:00,0.0,8.705555555555556,0.0,2.8222222222222224,0.0,0.0,492.85555555555555
2025-04-26 07:00:00+00:00,4.861111111111111,0.0,4.183333333333334,1.2333333333333334,13.3,11.466666666666667,492.24444444444447
2025-04-26 08:00:00+00:00,7.512534818941504,0.0,0.019498607242339833,0.871866295264624,0.036211699164345405,0.0,491.2367688022284
2025-04-26 09:00:00+00:00,0.3055555555555556,10.286111111111111,14.491666666666667,9.975,0.022222222222222223,0.4638888888888889,490.0
2025-04-26 10:00:00+00:00,14.738888888888889,0.0,0.0,10.730555555555556,9.936111111111112,7.513888888888889,488.8
2025-04-26 11:00:00+00:00,0.0,8.241666666666667,3.9,0.0,0.0,0.0,487.93611111111113
2025-04-26 12:00:00+00:00,6.019444444444445,0.375,1.0361111111111112,13.322222222222223,1.613888888888889,5.152777777777778,487.94166666666666
2025-04-26 13:00:00+00:00,5.169444444444444,6.933333333333334,6.7555555555555555,18.88888888888889,5.041666666666667,0.42777777777777776,489.48333333333335
2025-04-26 14:00:00+00:00,1.4,3.138888888888889,8.147222222222222,0.6,1.0083333333333333,0.0,487.0083333333333
2025-04-26 15:00:00+00:00,0.008356545961002786,4.774373259052925,6.73816155988858,13.445682451253482,7.3175487465181055,3.4902506963788302,486.3342618384401
2025-04-26 16:00:00+00:00,6.338888888888889,1.35,8.558333333333334,28.84722222222222,11.73611111111111,30.108333333333334,5.408333333333333
2025-04-26 17:00:00+00:00,5.488888888888889,23.17222222222222,41.96666666666667,52.71944444444444,39.21388888888889,59.291666666666664,0.0
2025-04-26 18:00:00+00:00,15.244444444444444,51.708333333333336,46.09444444444444,58.61388888888889,55.516666666666666,61.83611111111111,0.0
2025-04-26 19:00:00+00:00,10.011111111111111,47.297222222222224,50.78611111111111,60.87777777777778,61.83888888888889,71.37777777777778,0.0
2025-04-26 20:00:00+00:00,10.930555555555555,23.719444444444445,53.43611111111111,60.355555555555554,58.92777777777778,71.18055555555556,0.0
2025-04-26 21:00:00+00:00,25.394444444444446,15.019444444444444,20.333333333333332,68.19444444444444,54.21388888888889,75.56666666666666,0.0
2025-04-26 22:00:00+00:00,24.994444444444444,51.736111111111114,40.42777777777778,64.18333333333334,28.908333333333335,76.83055555555555,0.0
2025-04-26 23:00:00+00:00,11.328690807799443,39.6016713091922,48.760445682451255,36.136490250696376,7.623955431754875,75.37047353760445,0.0
2025-04-27 00:00:00+00:00,20.766666666666666,12.475,12.622222222222222,0.9777777777777777,59.80277777777778,79.0111111111111,0.0
