WOHT_WT_Female_LPS_A_TIMESTAMP,WOHT_WT_Female_LPS_A_AVG,WOHT_WT_Male_B_AVG,WOHT_WT_Female_LPS_B_AVG,WOHT_Hom_Male_A_AVG,WOHT_Hom_Male_B_AVG,WOHT_Hom_Female_LPS_B_AVG,WOHT_Hom_Female_LPS_A_AVG,WOHT_WT_Male_A_AVG
2026-03-24 07:00:00.039000+00:00,0.0,0.0545851528384279,0.3457059679767102,0.0,0.0,0.133962392638559,1.2657264826306425,0.5349983401006154
2026-03-24 07:01:00.056000+00:00,0.0365497076023391,0.0182748538011695,0.6396198830409356,0.0,0.0,1.4923665909071564,0.925925925925926,0.4743481702801399
2026-03-24 07:02:00.110000+00:00,0.0181950509461426,0.0,1.7285298398835516,0.0,0.0,1.686074721009219,1.2866880325510526,0.668162704188905
2026-03-24 07:03:00.131000+00:00,0.0,0.0,0.5482456140350876,0.0,0.0181950509461426,0.849102377486657,2.171276079573023,0.6308149680362964
2026-03-24 07:04:00.227000+00:00,0.0,0.0,0.1455604075691411,0.0,0.0181950509461426,0.1583820662768031,1.2523196029861163,0.6322514194267814
2026-03-24 07:05:00.067000+00:00,0.0,0.0,0.0363901018922852,0.0,0.0,0.2911208151382823,0.8369723435225618,0.1701928888207904
2026-03-24 07:06:00.083000+00:00,0.0,0.1455604075691411,0.0730994152046783,0.0,0.1091703056768558,0.9097525473071326,0.4852013585638039,0.4730713245997088
2026-03-24 07:07:00.099000+00:00,0.0,0.1096491228070175,0.200225363262596,0.0,0.0,2.0346003898635474,0.6943380406377417,0.0852826510721247
2026-03-24 07:08:00.114000+00:00,0.0,1.2736535662299855,0.0727802037845705,0.0,0.0,1.0310528869480835,0.8130846889178307,0.2547839151493484
2026-03-24 07:09:00.178000+00:00,0.0,0.0727802037845705,0.1644736842105263,0.0,0.0,1.1086212620342704,0.3286281570009448,0.0970402717127607
2026-03-24 07:10:00.101000+00:00,0.0,0.0181950509461426,0.1819505094614264,0.0,0.0,1.589034449296458,0.4245511887433285,0.2680311890838206
2026-03-24 07:11:00.167000+00:00,0.0,1.437409024745269,0.3457059679767103,0.0909752547307132,0.0,0.8005822416302766,0.0485201358563803,0.2668607472100922
